Time,Tout,WindSpd,WindDir,SolGlob,SolVerS,PelInt,PelPV,CpSp3,EvRad,TsRad,TrRad,FloRad,PhRad_actual_power,PhRad_from_energy,EhRad_energy,VolRad,Tv_sup,Tv_ext_ahu,Tv_ext_kitchen,Ta_technroom,RTD29,RTD30,RTD31,RTD32,RTD33,RTD34,RTD35,RTD36,RTD37,RTD38,RTD39,RTD40,RTD41,RTD42
2019-02-21T18:30:00Z,0.1,0.6,112,0,1,288,0,3,3,51,45.9,3,14,0,2817,479.35,18.3,22.6,22.3,29.3,21,21.5,22.1,22.5,22.5,21.5,20,20.8,21.7,22.1,23.8,21.4,21.2,21
2019-02-21T19:00:00Z,0.2,0.6,224,0,1,328,0,100,100,56.5,46.2,350,3870,4000,2819,479.445,18.2,22.5,22.3,29.2,21,21.4,22,22.3,22.3,21.5,20,20.8,21.7,22,23.6,21.4,21.2,21.1
2019-02-21T19:30:00Z,0.3,0.4,205,0,1,316,0,97,97,56.4,50.3,338,2380,4000,2820,479.62,18.4,22.8,22.6,29.2,21.1,21.5,22.2,22.6,22.6,21.6,20.1,20.8,21.7,22.2,23.9,21.5,21.3,21.1
2019-02-21T20:00:00Z,0.3,0.5,156,0,1,306,0,0,0,50.2,46.4,0,0,0,2821,479.7,18.3,22.7,22.4,29.3,21.1,21.5,22.2,22.6,22.5,21.6,20.2,20.9,21.8,22.2,23.8,21.5,21.3,21.2
2019-02-21T20:30:00Z,0.3,0.6,186,0,1,312,0,3,3,42.7,39.6,3,7,0,2821,479.7,18,22.2,21.8,29.1,21,21.4,22,22.2,21.9,21.5,20.1,20.8,21.7,22,23.2,21.6,21.3,21.2
2019-02-21T21:00:00Z,0.3,0.3,212,0,1,338,0,100,100,56.3,45.6,352,4257,4000,2822,479.793,17.9,22.2,22.1,29,20.9,21.3,21.9,22.1,21.9,21.4,20.1,20.8,21.6,21.9,23.2,21.5,21.2,21.2
2019-02-21T21:30:00Z,0.3,0.4,211,0,1,272,0,100,100,56.6,50,351,2600,2000,2824,479.97,18.2,22.6,22.6,29.1,21,21.4,22,22.5,22.5,21.5,20.2,20.8,21.7,22.1,23.7,21.5,21.3,21.2
2019-02-21T22:00:00Z,0.4,0.7,280,0,1,274,0,100,100,56.2,50.1,350,2420,2000,2825,480.145,18.4,22.8,22.7,29.2,21.1,21.5,22.1,22.8,22.7,21.6,20.2,20.9,21.8,22.2,23.9,21.6,21.5,21.3
2019-02-21T22:30:00Z,0.4,0.6,197,0,1,310,0,97,97,56.4,50.1,339,2427,4000,2826,480.321,18.5,22.9,22.8,29.3,21.2,21.6,22.2,22.9,22.8,21.6,20.3,21,21.9,22.3,24,21.7,21.6,21.3
2019-02-21T23:00:00Z,0.3,0.3,202,0,1,276,0,0,0,50.2,46.5,0,0,0,2827,480.4,18.5,22.8,22.6,29.3,21.2,21.6,22.2,22.8,22.7,21.7,20.4,21,21.9,22.3,23.9,21.7,21.6,21.4
