"time","T0","T1","T2","T3","T4","T5","T6","T7","H0","H1","H2","H3","H4","H5","H6","H7","S0","S1","S2","S3","S4","S5","S6","S7","P","G","Ta","Wd","Ws","HT0","HT1","HT2","HT3","HT4","HT5","HT6","HT7","HRelH0","HRelH1","HRelH2","HRelH3","HRelH4","HRelH5","HRelH6","HRelH7","HI0","HI1","HI2","HI3","HI4","HI5","HI6","HI7","HCo2_0","HCo2_1","HCo2_2","HCo2_3","HCo2_4","HCo2_5","HCo2_6","HCo2_7"
2009-02-16 23:03:45,20.0784,19.7694545454545,19.82746,19.75424,19.9216,19.9216,20.0784,19.8079827586207,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,,-0.001900746,-2.26908,72.0413866666667,1.56141783333333,20.186,20.567,18.711,19.8645,20.71,18.545,21.616,19.5315,26.6435,24.723,29.4215,28.3195,27.6065,28.532,24.887,29.313,23.65,11.8,31.55,27.6,19.7,23.65,31.55,23.65,1333.25,1309.375,1338.875,1345,1346.125,1314.75,1370.875,1335.75
2009-02-16 23:08:45,19.96864,19.897084375,19.9895466666667,19.7647,19.9216,19.9216,19.9951,19.9468903225806,0.6,1,0.6,1,1,1,0.4,1,0,0,0,0,0,0,0,0,,-0.00211194,-2.31657827586207,78.7251965517242,1.82981555172414,19.9475,20.579,19.056,20.043,20.758,18.5685,21.5925,19.7455,26.8035,24.724,29.0815,28.1215,27.5925,28.516,24.8495,29.0845,15.75,15.75,39.45,27.6,11.8,19.7,39.45,27.6,1333.25,1332.625,1337.625,1332.625,1346.75,1314.75,1370.25,1348
2009-02-16 23:13:45,19.72809,20.0356363636364,20.1948096774194,19.8962935483871,20.0027034482759,19.9216,19.8627625,20.11501,1,0.4,0,1,0.6,1,1,0,0,0,0,0,0,0,0,0,,-0.001830348,-2.36267366666667,72.7246166666667,1.76134026666667,19.734,20.698,19.3415,20.21,20.829,18.58,21.461,19.9005,26.9465,24.6605,28.859,27.993,27.5095,28.4815,24.9125,28.8855,23.65,11.8,35.5,19.7,19.7,27.6,31.55,31.55,1345.625,1309.375,1326.5,1345,1346.125,1314.75,1346.75,1348
2009-02-16 23:18:45,19.6078,20.093109375,20.4549133333333,19.9216,20.0784,19.9216,19.8265090909091,20.2353,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,-0.00211194,-2.39776366666667,89.5524533333333,2.046101,19.746,20.7815,19.436,20.3765,20.829,18.604,21.39,19.936,27.054,24.5945,28.743,27.8465,27.5095,28.431,24.961,28.818,27.6,15.75,31.55,27.6,27.6,19.7,35.5,19.7,1332.625,1307.5,1338.25,1358,1346.75,1327.125,1359.125,1348
2009-02-16 23:23:45,19.74901,19.9804,20.6162428571429,19.9581866666667,20.1487344827586,19.9216,19.9216,20.13593,1,0.6,0,0.8,0,1,1,0,0,0,0,0,0,0,0,0,,-0.00211194,-2.45864413793103,96.3779586206897,2.41615482758621,19.8765,20.722,19.389,20.5195,20.71,18.628,21.437,19.7935,26.922,24.5905,28.7745,27.6985,27.536,28.3445,24.9285,28.8775,27.6,7.85,43.4,23.65,15.75,27.6,23.65,35.5,1332.625,1308.75,1338.25,1345,1346.75,1314.75,1346.75,1348
2009-02-16 23:28:45,19.83792,19.8027363636364,20.7059,20.0885225806452,20.2353,19.9216,20.0539,20.0784,1,1,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,,-0.002041542,-2.48576133333333,83.5127366666667,2.11653633333333,20.0315,20.579,19.258,20.6385,20.5315,18.628,21.533,19.603,26.8275,24.67,28.8345,27.6015,27.664,28.2745,24.8455,29.0025,27.6,19.7,39.45,27.6,27.6,19.7,43.4,19.7,1333.25,1308.125,1337,1345,1347.375,1314.75,1346.75,1348
2009-02-16 23:33:45,19.9216,19.857859375,20.7059,20.22549375,20.3218655172414,19.9216,20.0735,19.9671225806452,1,1,0,0,0,1,0,0.7,0,,0,0,0,0,0,0,,-0.001971144,-2.54221533333333,93.5425066666667,2.20583166666667,20.186,20.567,19.1155,20.662,20.3055,18.64,21.5925,19.377,26.6435,24.705,28.946,27.55,27.8235,28.258,24.7775,29.1425,19.7,15.75,39.45,35.5,27.6,23.65,39.45,31.55,1345.625,1308.75,1338.875,1345,1347.375,1327.125,1346.75,1335.75
2009-02-16 23:38:45,20.0480516129032,20.0071272727273,20.6536,20.2454225806452,20.25099,19.9358545454545,19.9216,19.79085,0.4,0.5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,-0.001971144,-2.61037466666667,99.69385,2.14773,20.329,20.6625,18.9605,20.579,20.0905,18.652,21.497,19.1985,26.512,24.6585,29.021,27.5965,27.9835,28.259,24.7705,29.4085,27.6,11.8,39.45,15.75,11.8,27.6,31.55,31.55,1333.25,1308.75,1337.625,1344.375,1347.375,1314.75,1358.5,1347.375
2009-02-16 23:43:45,20.0784,20.0784,20.549,20.2707290322581,20.2353,20.0451393939394,19.838246875,19.6078,0,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,,-0.00196628896551724,-2.65279586206897,89.0736103448276,2.06888103448276,20.3645,20.746,18.7945,20.448,19.8525,18.652,21.4015,19.1985,26.4075,24.574,29.148,27.6575,28.1065,28.1535,24.836,29.4785,27.6,11.8,39.45,23.65,19.7,19.7,31.55,19.7,1345,1320.375,1338.875,1357.375,1347.375,1314.75,1346.75,1335.75
2009-02-16 23:48:45,20.0784,19.9691151515152,20.549,20.2403612903226,20.2353,20.0784,19.9216,19.65487,0,0.7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,-0.002041542,-2.733967,81.4905933333333,1.9064553,20.2095,20.698,18.6395,20.2815,19.6505,18.628,21.4015,19.3535,26.485,24.5705,29.276,27.7865,28.2675,28.1515,24.836,29.351,23.65,19.7,35.5,27.6,27.6,23.65,43.4,35.5,1332.625,1332.625,1338.875,1345.625,1347.375,1327.125,1346.75,1335.75
