Time,Supply air temperature (oC) ,Supply air relative humidity (%),Room air temperature (oC),Room air relative humidity (%),Supply air mass flow rate (kg/s)
16/2/2019 0:02,24.9,85.7,24.93,79.17,0
16/2/2019 0:07,24.91,85.66,24.95,79.17,0
16/2/2019 0:12,24.92,85.67,24.95,79.14,0
16/2/2019 0:17,24.93,85.71,24.95,79.18,0
16/2/2019 0:22,24.94,85.64,24.96,79.07,0
16/2/2019 0:27,24.94,85.53,24.97,79.26,0
16/2/2019 0:32,24.97,85.39,24.98,79.25,0
16/2/2019 0:37,24.97,85.26,24.98,79.14,0
16/2/2019 0:42,24.97,85.2,25,79.19,0.01
16/2/2019 0:47,24.99,85.27,25,79.26,0.02
16/2/2019 0:52,25,85.13,24.99,79.33,0.02
16/2/2019 0:57,25.01,85.47,25.01,79.18,0.01
16/2/2019 1:02,25.02,85.36,25.01,79.26,0.02
16/2/2019 1:07,25.03,85.48,25.01,79.34,0.02
16/2/2019 1:12,25.04,85.25,25.02,79.35,0.02
16/2/2019 1:17,25.04,85.15,25.04,79.29,0.02
16/2/2019 1:22,25.04,84.96,25.03,79.35,0.02
16/2/2019 1:27,25.04,84.96,25.05,79.34,0.02
16/2/2019 1:32,25.04,85.14,25.05,79.35,0.02
16/2/2019 1:37,25.05,85.04,25.05,79.35,0.02
16/2/2019 1:42,25.06,85.15,25.05,79.35,0.02
16/2/2019 1:47,25.06,85.04,25.07,79.27,0.02
16/2/2019 1:52,25.06,84.89,25.07,79.42,0.02
16/2/2019 1:57,25.06,84.87,25.07,79.43,0.02
16/2/2019 2:02,25.08,84.97,25.07,79.42,0.02
16/2/2019 2:07,25.08,84.81,25.09,79.32,0.02
16/2/2019 2:12,25.08,84.71,25.09,79.23,0.02
16/2/2019 2:17,25.08,84.56,25.09,79.38,0.02
16/2/2019 2:22,25.08,84.48,25.09,79.41,0.02
16/2/2019 2:27,25.07,84.28,25.11,79.44,0.02
16/2/2019 2:32,25.06,84.32,25.11,79.35,0.02
16/2/2019 2:37,25.07,84.44,25.11,79.35,0.02
16/2/2019 2:42,25.08,84.6,25.13,79.48,0.02
16/2/2019 2:47,25.09,84.64,25.12,79.42,0.02
16/2/2019 2:52,25.11,84.79,25.12,79.49,0.02
16/2/2019 2:57,25.12,84.92,25.14,79.44,0.02
16/2/2019 3:02,25.12,84.99,25.14,79.44,0.02
16/2/2019 3:07,25.12,84.69,25.14,79.51,0.02
16/2/2019 3:12,25.13,84.76,25.14,79.54,0.02
16/2/2019 3:17,25.12,84.75,25.16,79.44,0.02
16/2/2019 3:22,25.13,84.74,25.16,79.6,0.02
16/2/2019 3:27,25.13,84.78,25.16,79.51,0.02
16/2/2019 3:32,25.13,84.81,25.16,79.54,0.03
16/2/2019 3:37,25.13,85.01,25.16,79.55,0.02
16/2/2019 3:42,25.13,85.03,25.16,79.54,0.03
16/2/2019 3:47,25.12,85.07,25.18,79.62,0.02
16/2/2019 3:52,25.14,85,25.18,79.64,0.02
16/2/2019 3:57,25.13,85.01,25.18,79.62,0.02
16/2/2019 4:02,25.15,85.17,25.18,79.7,0.02
16/2/2019 4:07,25.13,85.37,25.19,79.64,0.02
16/2/2019 4:12,25.16,85.32,25.19,79.71,0.02
16/2/2019 4:17,25.15,85.1,25.19,79.75,0.02
16/2/2019 4:22,25.13,85.01,25.19,79.79,0.02
16/2/2019 4:28,25.13,85.08,25.21,79.8,0.02
16/2/2019 4:32,25.11,85,25.2,79.7,0.02
16/2/2019 4:37,25.09,84.97,25.21,79.8,0.02
16/2/2019 4:42,25.09,84.97,25.21,79.79,0.02
16/2/2019 4:47,25.09,85.08,25.21,79.83,0.02
16/2/2019 4:52,25.08,85.03,25.23,79.79,0.02
16/2/2019 4:57,25.07,84.81,25.23,79.74,0.02
16/2/2019 5:02,25.07,84.99,25.23,79.9,0.02
16/2/2019 5:07,25.06,85.08,25.23,79.8,0.02
16/2/2019 5:12,25.06,84.95,25.23,79.7,0.02
16/2/2019 5:17,25.06,85.08,25.23,79.87,0.02
16/2/2019 5:22,25.05,84.99,25.23,79.83,0.02
16/2/2019 5:27,25.06,85,25.23,79.9,0.02
16/2/2019 5:32,25.04,84.96,25.23,79.97,0.02
16/2/2019 5:37,25.05,85.19,25.25,79.82,0.02
16/2/2019 5:42,25.04,85.06,25.25,79.9,0.02
16/2/2019 5:47,25.04,85.22,25.25,79.86,0.02
16/2/2019 5:52,25.04,85.29,25.25,79.87,0.02
16/2/2019 5:57,25.04,85.22,25.25,79.87,0.02
16/2/2019 6:02,25.04,85.38,25.25,79.91,0.02
16/2/2019 6:07,25.04,85.3,25.25,79.97,0.02
16/2/2019 6:12,25.04,85.56,25.25,79.89,0.02
16/2/2019 6:17,25.04,85.42,25.27,79.9,0.02
16/2/2019 6:22,25.04,85.48,25.27,79.73,0.02
16/2/2019 6:28,25.04,85.46,25.28,79.9,0.02
16/2/2019 6:32,25.03,85.49,25.27,79.9,0.02
16/2/2019 6:37,25.04,85.38,25.27,79.9,0.02
16/2/2019 6:42,25.04,85.46,25.28,80.07,0.02
16/2/2019 6:47,25.04,85.65,25.27,79.9,0.02
16/2/2019 6:52,25.04,85.83,25.28,79.93,0.02
16/2/2019 6:57,25.04,85.94,25.29,80.06,0.02
16/2/2019 7:02,25.06,85.81,25.28,80.01,0.03
16/2/2019 7:07,25.05,86.06,25.29,79.97,0.02
16/2/2019 7:12,25.06,86.22,25.29,80.1,0.02
16/2/2019 7:17,25.06,85.99,25.28,80.13,0.02
16/2/2019 7:22,25.06,86,25.28,80.12,0.02
16/2/2019 7:27,25.06,86.22,25.29,80.05,0.02
